"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 09 02:25:55 UTC 2024","Tue Jul 09 02:25:55 UTC 2024","1","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"unknown","","","","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"failed","Tue Jul 09 02:21:23 UTC 2024","Tue Jul 09 02:23:15 UTC 2024","112625","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Tue Jul 09 01:43:04 UTC 2024","Tue Jul 09 01:50:39 UTC 2024","454629","tests.integration.new_relations","test_relations_coherence","","","","test_relations","Test that check relation data."
"broken","Tue Jul 09 01:44:22 UTC 2024","Tue Jul 09 02:17:44 UTC 2024","2002038","tests.integration.ha_tests","test_smoke","","","","test_charm_garbage_ignorance","Test charm deploy in dirty environment with garbage storage."
"skipped","Tue Jul 09 01:53:44 UTC 2024","Tue Jul 09 01:53:44 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"passed","Tue Jul 09 01:56:25 UTC 2024","Tue Jul 09 02:05:17 UTC 2024","532631","tests.integration.ha_tests","test_self_healing","","","","test_storage_re_use","Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    "
"passed","Tue Jul 09 02:11:11 UTC 2024","Tue Jul 09 02:15:46 UTC 2024","274302","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"unknown","","","","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"failed","Tue Jul 09 02:31:28 UTC 2024","Tue Jul 09 02:32:42 UTC 2024","74132","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Tue Jul 09 02:23:53 UTC 2024","Tue Jul 09 02:23:53 UTC 2024","4","tests.integration","test_charm","","","","test_database_is_up[1]",""
"skipped","Tue Jul 09 01:40:52 UTC 2024","Tue Jul 09 01:40:52 UTC 2024","0","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"passed","Tue Jul 09 02:05:23 UTC 2024","Tue Jul 09 02:06:07 UTC 2024","44616","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"broken","Tue Jul 09 02:17:31 UTC 2024","Tue Jul 09 02:30:01 UTC 2024","749598","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"broken","Tue Jul 09 01:44:32 UTC 2024","Tue Jul 09 01:44:32 UTC 2024","0","tests.integration.ha_tests","test_replication","","","","test_reelection","Kill primary unit, check reelection."
"passed","Tue Jul 09 02:23:53 UTC 2024","Tue Jul 09 02:23:54 UTC 2024","558","tests.integration","test_charm","","","","test_exporter_is_up[2]",""
